Date,Pays,Chaîne,Nom de la série,Saison,Épisode,URL
03-10-2023,France 2,Canada,Un Si Grand Soleil,6,24,https://www.spin-off.frepisode24-410926-03102023-saison6-Un-Si-Grand-Soleil.html
04-10-2023,Noovo.ca,Etats-Unis,Aller simple,2,04,https://www.spin-off.frepisode04-410649-04102023-saison2-Aller-simple.html
04-10-2023,FX,Etats-Unis,American Horror Story,12,03,https://www.spin-off.frepisode03-410183-04102023-saison12-American-Horror-Story.html
04-10-2023,FXX,Etats-Unis,Archer (2009),14,07,https://www.spin-off.frepisode07-408904-04102023-saison14-Archer-(2009).html
04-10-2023,BET,Etats-Unis,Assisted Living,4,20,https://www.spin-off.frepisode20-410621-04102023-saison4-Assisted-Living.html
04-10-2023,BET,Etats-Unis,Assisted Living,4,21,https://www.spin-off.frepisode21-410622-04102023-saison4-Assisted-Living.html
04-10-2023,BET,Canada,Assisted Living,4,22,https://www.spin-off.frepisode22-410623-04102023-saison4-Assisted-Living.html
04-10-2023,CBC,Canada,Bones of Crows,1,03,https://www.spin-off.frepisode03-410642-04102023-saison1-Bones-of-Crows.html
04-10-2023,CTV,Etats-Unis,Children Ruin Everything,3,02,https://www.spin-off.frepisode02-410794-04102023-saison3-Children-Ruin-Everything.html
04-10-2023,Syfy,France,Chucky,3,01,https://www.spin-off.frepisode01-409037-04102023-saison3-Chucky.html
04-10-2023,TF1,Etats-Unis,Demain nous appartient,7,33,https://www.spin-off.frepisode33-410922-04102023-saison7-Demain-nous-appartient.html
04-10-2023,Disney+,Etats-Unis,Hans River Police,1,07,https://www.spin-off.frepisode07-409972-04102023-saison1-Hans-River-Police.html
04-10-2023,Disney+,Canada,Hans River Police,1,08,https://www.spin-off.frepisode08-409973-04102023-saison1-Hans-River-Police.html
04-10-2023,Citytv,France,Hudson & Rex,6,01,https://www.spin-off.frepisode01-410258-04102023-saison6-Hudson--Rex.html
04-10-2023,TF1,Etats-Unis,Ici tout commence,4,28,https://www.spin-off.frepisode28-410917-04102023-saison4-Ici-tout-commence.html
04-10-2023,Apple TV+,Etats-Unis,Invasion (2021),2,07,https://www.spin-off.frepisode07-407971-04102023-saison2-Invasion-(2021).html
04-10-2023,NBC,Etats-Unis,Magnum P.I. (2018),5,11,https://www.spin-off.frepisode11-409152-04102023-saison5-Magnum-PI-(2018).html
04-10-2023,NBC,Australie,Quantum Leap (2022),2,01,https://www.spin-off.frepisode01-408633-04102023-saison2-Quantum-Leap-(2022).html
04-10-2023,Seven,Canada,RFDS,2,08,https://www.spin-off.frepisode08-410739-04102023-saison2-RFDS.html
04-10-2023,Global,Etats-Unis,Robyn Hood,1,02,https://www.spin-off.frepisode02-410949-04102023-saison1-Robyn-Hood.html
04-10-2023,Syfy,Etats-Unis,SurrealEstate,2,01,https://www.spin-off.frepisode01-409249-04102023-saison2-SurrealEstate.html
04-10-2023,Apple TV+,Etats-Unis,The Morning Show,3,05,https://www.spin-off.frepisode05-407700-04102023-saison3-The-Morning-Show.html
04-10-2023,Disney+,Etats-Unis,The Worst of Evil,1,04,https://www.spin-off.frepisode04-410766-04102023-saison1-The-Worst-of-Evil.html
04-10-2023,Disney+,France,The Worst of Evil,1,05,https://www.spin-off.frepisode05-410767-04102023-saison1-The-Worst-of-Evil.html
04-10-2023,France 2,Etats-Unis,Un Si Grand Soleil,6,25,https://www.spin-off.frepisode25-410927-04102023-saison6-Un-Si-Grand-Soleil.html
04-10-2023,Nickelodeon,Royaume-Uni,Young Dylan,4,05,https://www.spin-off.frepisode05-410578-04102023-saison4-Young-Dylan.html
05-10-2023,Channel 5,Etats-Unis,All Creatures Great and Small (2020),4,01,https://www.spin-off.frepisode01-410607-05102023-saison4-All-Creatures-Great-and-Small-(2020).html
